strain_zz,stress_zz_MPa,time_s
0.000000000000000000e+00,9.130474154517286096e-11,0.000000000000000000e+00
2.496880198587136685e-03,1.110131055686891273e+02,2.500000000000000000e+00
4.987541511038938447e-03,1.167475757223387376e+02,5.000000000000000000e+00
7.472014838700871686e-03,1.203828565239808341e+02,7.500000000000000000e+00
9.950330853167873441e-03,1.237202202135552795e+02,1.000000000000000000e+01
1.242251999855692630e-02,1.268197009925014527e+02,1.250000000000000000e+01
1.488861249375029311e-02,1.297064898272877258e+02,1.500000000000000000e+01
1.734863833461263577e-02,1.324018992696018415e+02,1.750000000000000000e+01
1.980262729617930303e-02,1.349244731907308221e+02,2.000000000000000000e+01
2.225060893481927565e-02,1.372904295970249677e+02,2.250000000000000000e+01
2.469261259037096312e-02,1.395140137195708689e+02,2.500000000000000000e+01
2.712866738825205071e-02,1.416077887342951271e+02,2.750000000000000000e+01
2.955880224154400215e-02,1.435828766976621012e+02,3.000000000000000000e+01
3.198304585305011133e-02,1.454491593331927959e+02,3.250000000000000000e+01
3.440142671733174839e-02,1.472154462337080929e+02,3.500000000000000000e+01
3.681397312271546957e-02,1.488896164684168753e+02,3.750000000000000000e+01
3.922071315328040653e-02,1.504788766697205062e+02,4.000000000000000000e+01
4.162167469081861498e-02,1.519892881826152120e+02,4.250000000000000000e+01
4.401688541677325345e-02,1.534267487477442273e+02,4.500000000000000000e+01
4.640637281415479348e-02,1.547964502403240772e+02,4.750000000000000000e+01
4.879016416943095930e-02,1.561030977249647833e+02,5.000000000000000000e+01
5.116828657439840417e-02,1.573509677105886624e+02,5.250000000000000000e+01
5.354076692802865745e-02,1.585439560191096859e+02,5.500000000000000000e+01
5.590763193829485778e-02,1.596856193237316006e+02,5.750000000000000000e+01
5.826890812397469976e-02,1.607792113625881427e+02,6.000000000000000000e+01
6.062462181643360482e-02,1.618277146072724406e+02,6.250000000000000000e+01
6.297479916138726264e-02,1.628338680385931241e+02,6.500000000000000000e+01
6.531946612064129520e-02,1.638001915749147201e+02,6.750000000000000000e+01
6.765864847381340696e-02,1.647290074834219240e+02,7.000000000000000000e+01
6.999237182003349711e-02,1.656224674064808084e+02,7.250000000000000000e+01
7.232066157962464825e-02,1.664825375566711045e+02,7.500000000000000000e+01
7.464354299576400620e-02,1.673110622411308839e+02,7.750000000000000000e+01
7.696104113612668718e-02,1.681097441259988443e+02,8.000000000000000000e+01
7.927318089450620386e-02,1.688801643797977192e+02,8.250000000000000000e+01
8.157998699242108298e-02,1.696237935186951233e+02,8.500000000000000000e+01
8.388148398070045808e-02,1.703420009638212491e+02,8.750000000000000000e+01
8.617769624105051096e-02,1.710360636192582717e+02,9.000000000000000000e+01
8.846864798760648019e-02,1.717071735898679492e+02,9.250000000000000000e+01
9.075436326846222923e-02,1.723564451367034565e+02,9.500000000000000000e+01
9.303486596718740786e-02,1.729849209585845244e+02,9.750000000000000000e+01
9.531017980432297809e-02,1.735935778727895524e+02,1.000000000000000000e+02
