disp_frac,Cu,Ag,Au
0.000000,0.0000,0.0000,0.0000
0.025000,1.3731,1.1247,0.8131
0.050000,5.3516,4.3206,3.1384
0.075000,11.7006,9.2962,6.7909
0.100000,20.1560,15.7402,11.5724
0.125000,30.4260,23.3354,17.2777
0.150000,42.1903,31.7716,23.6993
0.175000,55.1017,40.7539,30.6333
0.200000,68.7902,50.0101,37.8828
0.225000,82.8747,59.2943,45.2613
0.250000,96.9811,68.3889,52.5955
0.275000,110.7641,77.1048,59.7267
0.300000,123.9281,85.2801,66.5118
0.325000,136.2403,92.7789,72.8244
0.350000,147.5336,99.4884,78.5541
0.375000,157.6995,105.2520,83.6132
0.400000,166.6747,110.0076,87.6535
0.425000,174.4264,113.7671,90.8503
0.450000,180.9375,116.4875,93.2023
0.475000,186.1972,118.1394,94.6747
0.500000,190.1931,118.7056,95.2468
0.525000,192.9075,118.1808,94.9121
0.550000,194.3162,116.5710,93.6781
0.575000,194.3900,113.8941,91.5663
0.600000,193.0984,110.1801,88.6123
0.625000,190.4174,105.4726,84.8192
0.650000,186.3408,99.7608,80.0110
0.675000,180.8948,93.1070,74.5373
0.700000,174.1546,85.6687,68.4867
0.725000,166.2576,77.5594,61.9700
0.750000,157.4105,68.9158,55.1145
0.775000,147.8847,59.9003,48.0633
0.800000,138.0007,50.7024,40.9460
0.825000,128.1058,41.5403,33.9031
0.850000,118.5513,32.6601,27.1918
0.875000,109.6764,24.3341,21.0156
0.900000,101.7989,16.8467,15.5737
0.925000,95.2147,10.4965,11.0712
0.950000,90.2000,5.6257,7.7142
0.975000,87.0148,2.5503,5.5634
1.000000,85.9021,1.4620,4.7382
